time,ax,ay,az,gx,gy,gz
1648.30,0.01,-0.00,-0.98,-0.02,-0.89,-0.51
1649.31,0.01,-0.00,-0.98,0.18,0.02,0.13
1650.32,0.01,-0.00,-0.98,-0.31,-1.46,-0.40
1651.33,0.00,-0.00,-0.98,0.02,-0.82,0.05
1652.34,-0.00,-0.01,-0.98,0.11,-1.31,-0.60
1653.36,0.00,-0.00,-0.98,-0.15,-0.60,-1.11
1654.37,0.00,-0.00,-0.97,-0.14,-0.74,-0.50
1655.38,0.00,-0.00,-0.98,0.12,-0.40,-0.64
1656.39,-0.00,-0.00,-0.99,0.31,0.23,-0.23
1657.40,-0.00,-0.00,-0.98,0.25,-1.44,-0.56
1658.41,-0.00,-0.00,-0.98,0.29,-1.88,-0.27
1659.42,-0.00,-0.00,-0.98,0.18,-0.32,-0.28
1660.43,-0.00,-0.00,-0.99,0.38,0.44,-0.31
1661.45,-0.00,-0.00,-0.98,-0.26,0.02,0.09
1662.46,-0.00,-0.00,-0.98,0.07,-0.16,-0.17
1663.47,-0.00,-0.00,-0.98,0.35,0.39,-0.54
1664.48,-0.00,-0.00,-0.98,0.33,0.18,-0.43
1665.49,-0.00,-0.00,-0.98,0.02,0.05,-0.47
1666.50,0.00,-0.00,-0.99,0.37,0.60,-0.58
1667.51,-0.00,-0.01,-0.98,0.21,0.35,-0.62
1668.53,-0.00,-0.00,-0.98,0.16,-0.23,-0.28
1669.54,0.00,-0.01,-0.98,0.68,0.39,-0.31
1670.55,0.00,-0.00,-0.98,0.17,1.06,-0.24
1671.56,-0.00,-0.00,-0.98,-0.01,0.38,-0.92
1672.57,-0.00,-0.01,-0.98,0.24,0.13,-0.47
1673.58,0.02,-0.01,-1.15,118.42,15.46,13.33
1674.59,0.01,-0.32,-0.97,230.59,-1.63,23.49
1675.61,-0.01,-0.66,-0.67,225.48,-24.70,18.99
1676.62,-0.12,-0.88,-0.43,130.73,-39.64,2.30
1677.63,-0.05,-0.97,-0.08,87.78,3.08,-8.42
1678.64,-0.06,-0.95,-0.02,-118.55,-1.08,18.72
1679.65,-0.08,-0.77,-0.41,-248.44,18.81,-2.09
1680.66,-0.02,-0.49,-0.83,-155.10,16.85,-14.09
1681.67,-0.07,-0.14,-0.65,-250.00,-21.17,-43.91
1682.68,-0.01,-0.00,-0.97,-1.11,1.10,1.68
1683.70,-0.00,-0.00,-0.99,0.59,-0.77,-1.75
1684.71,-0.01,-0.01,-0.98,-0.46,1.05,-0.88
1685.72,-0.02,-0.00,-0.98,0.34,0.82,-1.25
1686.73,-0.01,-0.00,-0.98,-0.26,-0.29,-0.21
1687.74,-0.01,-0.00,-0.98,0.32,-0.64,1.21
