time,ax,ay,az,gx,gy,gz
57.26,-0.05,-0.26,-0.94,52.70,52.09,4.43
58.27,-0.02,-0.53,-0.76,60.68,42.68,26.70
59.28,-0.04,-0.70,-0.76,-15.74,43.49,66.93
60.29,-0.04,-0.75,-0.81,-115.88,51.17,94.83
61.30,-0.04,-0.53,-0.76,-196.27,44.46,71.85
62.31,0.10,-0.28,-0.92,-132.07,43.98,25.02
63.32,0.24,-0.08,-0.93,-123.97,31.30,-19.99
64.33,0.32,0.14,-0.94,-161.00,27.87,-52.86
65.34,0.33,0.36,-0.74,-82.63,30.58,-45.59
66.36,0.24,0.55,-0.65,12.51,32.60,-45.49
67.37,0.18,0.65,-0.66,99.44,43.06,-45.20
68.38,0.24,0.55,-0.78,136.03,18.98,-40.66
69.39,0.18,0.44,-0.82,50.19,-20.61,8.57
70.40,0.24,0.12,-0.83,52.30,-34.58,22.29
71.41,0.25,0.06,-0.92,12.19,-59.46,18.67
72.42,0.18,-0.10,-1.15,43.71,-18.77,30.45
73.43,0.03,-0.03,-1.26,12.79,-74.43,19.46
74.44,0.05,-0.08,-0.96,12.91,-26.42,-11.21
75.45,-0.04,-0.02,-0.94,3.78,9.22,4.17
76.46,-0.00,-0.01,-0.98,-0.22,6.83,4.50
