time,ax,ay,az,gx,gy,gz
61.10,0.01,-0.00,-0.97,-0.18,-0.72,-1.24
62.11,0.01,-0.00,-0.98,0.34,-0.07,-1.05
63.12,0.01,0.00,-0.97,-0.44,0.06,-0.38
64.13,0.01,0.00,-0.98,-0.27,-1.72,0.13
65.14,0.00,-0.00,-0.97,-0.14,0.57,-0.43
66.15,-0.00,-0.00,-0.97,-0.84,-1.39,1.15
67.16,0.00,-0.00,-0.97,0.43,0.48,-2.10
68.17,0.00,-0.00,-0.98,-0.63,-2.42,1.31
69.19,0.05,-0.12,-1.14,22.01,-13.11,-4.65
70.20,0.01,-0.06,-1.18,-16.65,-12.83,-7.30
71.21,0.00,-0.01,-1.28,-17.86,-2.28,-7.05
72.22,0.02,-0.03,-1.22,-13.32,25.36,-5.02
73.23,0.02,0.02,-0.94,-17.72,33.56,-5.52
74.24,0.04,0.09,-0.91,3.01,36.63,-1.33
75.25,0.09,0.12,-0.86,-24.15,19.51,4.55
76.27,0.13,0.09,-0.95,-21.69,20.99,0.31
77.28,0.17,0.15,-0.96,-20.45,24.40,-5.75
78.29,0.16,0.23,-0.84,-14.31,21.03,-6.94
79.30,0.17,0.20,-0.80,-19.53,19.23,-2.92
80.31,0.18,0.34,-0.17,5.68,14.07,0.06
81.32,0.17,0.26,-0.80,19.46,-36.28,8.30
82.33,0.20,0.17,-1.02,23.32,-25.54,6.40
83.34,0.18,0.18,-0.94,20.09,-15.69,2.30
84.36,0.14,0.09,-0.91,26.01,-8.55,6.94
85.37,0.12,0.05,-0.87,19.68,-14.52,1.56
86.38,0.04,0.11,-1.09,4.05,-27.50,5.23
87.39,0.04,0.06,-1.01,7.26,-20.92,-0.93
88.40,0.04,0.01,-1.02,9.16,-11.22,-1.00
89.41,0.02,-0.03,-1.02,-6.80,-9.76,-0.53
90.42,-0.02,0.04,-1.18,-22.89,-13.01,-12.15
91.43,-0.06,0.03,-0.95,-15.40,-18.41,-10.28
92.45,0.02,-0.07,-0.95,23.13,39.47,-0.11
93.46,0.01,-0.03,-1.04,-16.11,-0.88,-1.30
94.47,0.00,-0.01,-0.98,-2.10,0.55,-1.35
95.48,0.00,-0.01,-0.98,-0.14,0.84,-0.82
96.49,0.01,-0.01,-0.98,-0.44,0.05,-0.50
97.50,0.01,-0.01,-0.97,-0.29,0.13,-1.40
98.51,0.00,-0.01,-0.98,-0.21,0.31,-1.08
99.53,0.00,-0.01,-0.98,-0.85,-0.43,-0.17
100.54,0.01,-0.01,-0.98,-1.26,0.15,0.35
