time,ax,ay,az,gx,gy,gz
156.13,0.08,0.14,-0.91,-53.00,63.58,-6.53
157.14,0.06,0.21,-0.65,-48.45,43.63,-2.09
158.15,0.13,0.23,-0.46,-24.83,20.96,-6.28
159.16,0.11,0.40,-0.31,12.15,-9.61,-10.60
160.17,0.06,0.30,-0.63,52.72,-14.88,2.12
161.18,0.04,0.23,-0.99,52.75,-18.84,15.21
162.19,-0.01,0.12,-1.05,58.69,3.62,18.55
163.20,-0.00,-0.01,-1.10,17.54,-5.02,2.73
164.21,0.06,-0.09,-1.19,17.02,-15.82,-1.30
165.22,-0.03,-0.00,-1.11,4.41,3.89,-7.73
166.23,-0.01,0.02,-0.93,-3.76,-2.16,-11.86
167.24,-0.04,0.10,-1.16,-0.26,-19.36,-16.02
168.25,0.02,0.11,-1.15,-4.87,-21.33,-13.10
169.27,-0.06,0.03,-1.00,9.25,-3.04,1.17
170.28,-0.06,0.03,-1.00,3.85,4.38,-4.04
171.29,-0.06,0.03,-1.00,3.04,5.31,1.46
172.30,-0.05,0.01,-0.99,3.07,4.94,-0.18
173.31,-0.05,0.02,-0.99,0.24,0.29,0.72
174.32,-0.05,0.03,-0.99,-0.61,-1.45,-0.72
175.33,-0.05,0.03,-1.00,3.65,6.03,19.06
