time,ax,ay,az,gx,gy,gz
1091.18,-0.00,-0.01,-0.98,0.10,-1.14,-0.05
1092.19,-0.01,-0.01,-0.97,0.21,-1.17,-0.05
1093.20,-0.01,-0.01,-0.98,0.29,-1.05,-0.32
1094.22,-0.01,-0.01,-0.98,0.20,-1.75,0.02
1095.23,-0.00,-0.01,-0.98,0.02,-1.54,-0.07
1096.24,-0.00,-0.01,-0.98,0.23,-1.61,-0.34
1097.25,-0.00,-0.01,-0.98,0.02,-1.56,-0.18
1098.26,-0.00,-0.01,-0.98,0.18,-1.11,-0.15
1099.27,-0.00,-0.01,-0.98,1.50,-0.43,0.28
1100.28,0.00,-0.01,-1.02,11.19,2.01,2.65
1101.30,0.01,-0.07,-0.98,35.28,5.07,3.01
1102.31,0.02,-0.17,-1.02,73.10,7.72,6.91
1103.32,0.04,-0.30,-0.92,66.40,5.13,3.04
1104.33,0.03,-0.39,-0.95,61.10,-4.07,7.30
1105.34,0.00,-0.50,-0.87,47.71,-9.94,9.38
1106.35,0.01,-0.57,-0.82,48.13,-4.28,3.36
1107.36,-0.00,-0.65,-0.74,43.25,-5.94,4.26
1108.37,-0.01,-0.70,-0.68,19.20,-1.05,0.89
1109.39,-0.01,-0.71,-0.70,-4.66,-0.29,-1.97
1110.40,-0.02,-0.70,-0.71,-3.30,0.28,-2.69
1111.41,-0.00,-0.69,-0.69,-12.65,-0.74,-0.88
1112.42,0.00,-0.65,-0.70,-40.31,-0.17,-5.68
1113.43,0.01,-0.55,-0.82,-81.95,-0.55,-8.76
1114.44,0.02,-0.43,-0.87,-73.78,0.83,-7.64
1115.45,0.02,-0.33,-0.92,-47.85,2.27,-4.34
1116.47,0.03,-0.23,-0.99,-45.04,-3.37,-7.20
1117.48,0.02,-0.16,-0.98,-34.33,-6.77,-1.55
1118.49,0.01,-0.09,-1.00,-53.79,-10.19,-4.44
1119.50,0.00,-0.01,-1.10,-23.03,-8.74,-0.89
1120.51,0.00,-0.01,-0.96,-1.92,-2.85,1.29
1121.52,-0.01,-0.01,-0.99,-0.21,-0.93,-0.42
1122.53,-0.01,-0.01,-0.99,-0.64,-1.88,-0.22
1123.55,-0.02,-0.00,-0.98,1.31,0.78,-0.97
1124.56,-0.02,-0.01,-0.97,-0.24,-2.10,-0.11
1125.57,-0.02,-0.00,-0.98,0.69,-0.11,0.64
1126.58,-0.02,-0.01,-0.98,-0.49,-1.98,0.13
1127.59,-0.02,-0.01,-0.99,-0.21,-3.27,1.63
1128.60,-0.02,-0.01,-0.97,0.41,-3.17,-0.44
1129.61,-0.02,-0.01,-0.99,0.63,-2.10,-0.22
1130.62,-0.02,0.01,-0.98,0.34,-2.75,7.54
