time,ax,ay,az,gx,gy,gz
0,-0.00,0.04,9.94,1.38,1.25,-0.13
1,-0.05,-0.03,9.91,-0.45,0.74,0.66
2,0.03,0.03,9.99,2.30,0.56,-3.02
3,-0.04,0.28,9.89,-2.17,0.77,1.08
4,-0.03,0.10,10.03,0.17,1.50,-0.18
5,-0.04,0.17,9.81,1.32,1.22,1.82
6,0.01,0.29,9.90,1.71,0.31,1.08
7,-0.07,0.31,9.88,-5.17,0.83,2.17
8,0.12,-0.08,9.93,9.32,2.72,-3.11
9,0.07,0.05,9.92,-1.30,-0.83,0.00
10,0.06,-0.16,9.85,-4.52,0.70,2.63
11,-0.22,-0.88,10.30,-3.14,1.91,2.03
12,0.41,-1.22,10.30,-3.33,-12.05,-0.47
13,0.42,0.19,10.08,-3.20,-1.13,0.02
14,0.30,1.21,9.87,-0.27,3.75,-1.64
15,0.14,0.39,9.82,-5.14,4.42,10.67
16,0.27,-0.45,10.65,-2.51,9.35,5.29
17,-0.12,-0.42,9.79,1.09,2.70,2.78
18,0.28,-1.34,10.31,-4.16,-1.64,-1.35
19,0.27,-1.51,9.94,-5.13,-1.21,2.77
20,-0.09,-0.45,10.47,-2.94,-0.69,-1.91
21,0.24,-0.16,9.53,-3.64,-6.10,-3.66
22,0.21,0.16,9.47,-1.21,-0.69,-2.69
23,0.78,0.75,9.91,1.11,0.44,1.73
24,0.29,-0.46,10.02,0.02,-3.75,4.25
25,0.30,-0.26,9.84,-1.73,1.85,0.82
26,0.17,-1.17,9.93,-1.75,2.71,-1.75
27,0.23,-0.27,9.75,-3.69,0.21,0.47
28,0.15,-0.20,9.88,-0.71,3.07,3.84
29,0.20,-0.17,9.79,-1.06,2.17,1.67
30,0.16,-0.19,10.08,-2.55,-0.11,-0.31
31,0.08,-0.33,9.88,-1.62,-0.24,1.41
32,0.19,-0.17,9.92,0.16,2.07,-0.27
33,0.12,-0.20,9.90,-3.03,0.08,1.02
34,0.07,-0.26,9.87,-2.92,0.34,0.79
35,0.08,-0.18,9.82,-1.44,2.08,1.14
36,0.13,-0.25,9.93,-1.54,-0.34,1.27
37,0.09,-0.22,9.84,-1.66,1.50,0.30
38,0.59,-0.16,9.91,-3.27,2.69,-0.43
39,1.28,-0.28,9.76,-0.65,2.25,23.27
40,-0.70,0.01,9.95,-2.63,-3.30,28.11
41,-0.56,-0.23,10.23,-4.19,0.24,-10.84
42,-0.49,0.07,9.92,-5.60,0.11,-15.00
43,0.27,-0.18,9.74,-5.97,-1.00,-16.82
44,0.74,-0.57,9.62,-2.21,6.80,-20.10
45,1.35,-0.62,10.50,0.42,-2.99,-6.96
46,0.97,-0.59,9.27,3.97,10.15,4.12
47,0.26,-0.11,10.49,1.86,6.71,1.30
48,-0.23,-0.52,9.88,1.05,0.85,18.22
49,-0.26,-0.40,10.07,-1.10,0.08,15.47
50,-1.37,-0.50,10.18,-0.61,-1.31,-9.20
51,-1.07,-0.51,9.83,-11.38,7.77,2.28
52,0.20,-0.53,10.85,4.51,3.71,-25.45
53,0.39,-0.71,8.81,-3.33,-0.31,-7.14
54,0.62,-0.72,9.77,0.66,1.11,6.46
55,-0.85,-1.01,9.80,5.91,11.64,14.27
56,-0.67,-0.61,9.46,3.68,-7.15,14.43
57,-0.02,-0.37,9.86,-1.13,5.17,1.81
58,-0.24,-0.39,9.83,-0.14,-2.01,2.56
59,-0.13,-0.35,9.95,-0.84,0.27,0.77
60,-0.12,-0.39,10.05,0.08,1.11,0.26
61,-0.08,-0.34,9.99,-1.46,0.18,1.38
62,-0.13,-0.28,9.85,-0.02,-0.35,1.17
63,-0.04,-0.35,9.87,-0.36,0.61,0.19
64,-0.01,-0.22,9.91,-2.97,0.13,0.80
65,-0.04,-0.38,9.87,-2.26,0.27,0.97
66,-0.07,-0.33,9.94,-1.83,0.08,1.22
67,0.03,-0.34,9.91,-2.11,-0.27,1.46
68,-0.02,-0.39,9.88,-1.94,1.30,0.94
69,-0.03,-0.44,9.94,-1.01,0.78,1.17
70,-0.07,-0.43,9.95,1.53,2.13,0.04
71,-0.02,-0.29,9.89,-3.94,-0.14,0.69
72,-0.06,-0.32,9.77,-0.71,0.53,1.25
73,-0.04,-0.28,9.87,0.02,0.13,1.29
74,0.01,-0.31,9.85,-1.68,0.88,1.37
75,-0.36,-0.64,10.13,-4.82,0.91,1.56
76,0.21,-0.68,9.41,-3.17,-3.90,-27.84
77,1.32,1.59,9.98,6.00,-4.53,-22.32
78,0.67,0.34,9.91,-3.52,22.77,38.06
79,-0.34,-0.49,9.37,-0.61,-0.49,22.88
80,-1.54,-1.09,9.76,-0.16,-1.58,16.27
81,-0.87,-0.55,9.98,-2.11,-0.31,-5.02
82,-0.19,-0.61,10.28,-5.25,-1.00,-22.03
83,-0.68,-0.68,9.74,2.77,5.07,-24.93
84,0.41,-0.04,10.29,1.83,-3.66,-22.18
85,0.74,0.41,10.60,-4.42,2.46,11.75
86,-0.25,-0.49,9.66,-4.97,5.69,25.37
87,-0.01,-0.27,10.07,-1.38,-2.24,16.51
88,-1.21,-1.14,10.30,-3.93,3.54,18.01
89,-0.97,-1.04,10.07,-1.06,1.23,-14.29
90,-0.38,-0.66,9.72,-2.55,3.60,-11.26
91,0.11,0.08,9.19,1.46,-9.60,-10.67
92,-0.05,-0.45,9.99,-0.34,-0.59,1.46
93,0.03,0.03,9.79,1.52,-2.09,1.37
