time,ax,ay,az,gx,gy,gz
17887.22,-0.04,-0.01,-0.99,-2.52,-6.04,-1.92
17888.23,-0.04,-0.07,-0.97,0.50,2.62,-9.59
17889.24,-0.04,-0.06,-0.93,-6.29,-1.27,-11.02
17890.26,-0.02,-0.11,-0.94,-2.91,-4.75,-3.53
17891.27,-0.06,-0.09,-0.97,1.21,1.18,-0.07
17892.28,-0.02,0.08,-0.99,-0.83,-4.52,-5.82
17893.29,-0.03,0.08,-0.99,2.11,2.66,-6.87
17894.30,-0.02,-0.05,-0.95,-0.50,-0.09,-8.32
17895.31,-0.03,0.05,-1.01,2.79,-2.79,-3.43
17896.32,-0.04,-0.02,-0.99,5.50,8.16,-3.46
17897.34,-0.04,0.05,-1.00,-3.82,-7.03,0.57
17898.35,-0.03,-0.00,-0.98,-1.02,5.07,-2.03
17899.36,-0.02,-0.00,-0.98,0.12,-1.52,-0.53
17900.37,-0.02,-0.00,-0.98,0.32,-0.05,-1.75
17901.38,-0.02,0.00,-0.98,0.02,-1.29,-3.27
17902.39,-0.03,0.09,-0.98,-1.17,-0.91,-18.84
17903.40,-0.02,0.09,-0.97,-1.82,-2.93,3.72
17904.41,0.00,-0.06,-0.99,-5.95,1.52,1.01
17905.43,-0.02,-0.05,-1.00,-0.13,0.26,9.64
17906.44,-0.03,-0.04,-0.99,1.80,-6.13,7.39
17907.45,-0.04,-0.06,-0.98,4.64,-7.43,9.42
17908.46,-0.06,-0.08,-1.00,-3.68,-2.02,8.19
17909.47,-0.03,-0.08,-0.94,8.82,-8.29,4.29
17910.48,-0.01,-0.03,-0.99,3.62,1.53,-6.75
17911.49,-0.02,-0.00,-0.97,1.66,0.28,7.70
17912.51,-0.05,-0.08,-0.98,-3.41,-5.15,-0.60
17913.52,-0.05,-0.05,-0.98,-0.21,-3.78,1.85
17914.53,-0.04,-0.08,-0.98,1.29,-0.97,-2.26
17915.54,-0.02,-0.06,-0.98,0.56,-0.49,-1.69
17916.55,-0.02,-0.02,-0.99,0.91,3.94,-2.66
17917.56,-0.02,-0.00,-0.99,1.63,10.45,2.27
17918.57,-0.02,0.00,-0.99,1.04,-0.41,-0.27
17919.59,-0.01,0.00,-0.99,-0.18,-2.21,-0.21
17920.60,-0.01,-0.00,-0.98,0.41,-0.03,-0.43
17921.61,-0.01,-0.00,-0.99,0.29,-0.58,-0.60
17922.62,-0.01,-0.00,-0.98,-0.43,-1.27,-0.47
17923.63,-0.01,-0.00,-0.99,0.21,-0.34,-0.53
17924.64,-0.01,-0.00,-0.99,0.43,0.09,-0.40
17925.65,-0.01,-0.00,-0.99,-0.10,-1.64,-0.66
17926.66,-0.01,-0.00,-0.99,-0.15,-1.72,0.82
