time,ax,ay,az,gx,gy,gz
4241.62,0.04,0.05,-0.97,2.07,0.69,-6.27
4242.63,0.01,0.04,-0.97,0.18,0.04,-4.53
4243.64,0.00,-0.03,-0.97,-0.47,1.37,3.16
4244.65,0.01,0.01,-0.97,-0.03,1.68,-1.35
4245.66,0.00,-0.00,-0.99,-3.36,1.93,-6.09
4246.67,0.01,-0.01,-0.97,-1.37,0.94,-0.63
4247.69,-0.00,0.11,-0.98,-0.66,3.01,2.19
4248.70,0.05,0.10,-0.97,-0.68,1.43,2.85
4249.71,0.01,0.04,-0.96,-1.14,1.11,6.99
4250.72,0.00,0.01,-0.95,-0.91,1.39,4.80
4251.73,0.03,-0.09,-1.00,1.92,1.71,0.93
4252.74,0.06,-0.01,-0.96,1.88,1.93,2.53
4253.75,0.07,-0.08,-0.99,-0.43,0.28,10.64
4254.77,-0.03,-0.05,-0.97,-1.11,1.44,-2.41
4255.78,0.01,-0.01,-0.96,0.14,1.88,-0.47
4256.79,-0.04,0.00,-0.97,-0.04,1.97,-1.06
4257.80,-0.02,-0.07,-0.98,-0.27,1.56,0.24
4258.81,-0.02,-0.04,-0.96,-1.69,0.74,2.47
4259.82,-0.00,-0.04,-0.98,-1.60,0.70,-0.50
4260.83,-0.01,-0.09,-0.98,2.61,3.78,-3.30
4261.85,-0.01,-0.10,-0.97,-0.40,-0.64,10.10
4262.86,-0.04,-0.02,-1.04,-3.25,-1.85,-15.98
4263.87,0.01,-0.06,-0.97,3.52,1.37,-3.17
4264.88,0.04,-0.01,-0.95,3.47,1.76,-0.47
4265.89,-0.06,-0.06,-1.01,-1.43,-0.86,-11.70
4266.90,0.04,0.04,-0.99,2.11,1.98,-10.53
4267.91,0.04,0.04,-0.98,1.69,1.69,-5.44
4268.92,0.00,0.00,-1.00,-0.48,-0.24,-6.96
4269.94,0.03,0.03,-1.01,-0.77,-3.15,-6.28
4270.95,-0.02,-0.02,-0.99,-1.36,0.47,-0.69
4271.96,0.01,0.03,-0.98,-1.70,-2.30,-0.02
4272.97,-0.00,-0.02,-0.98,-2.30,0.36,-1.40
4273.98,-0.01,-0.02,-0.98,0.42,5.17,-0.85
4274.99,-0.01,-0.02,-0.98,-2.34,-2.86,1.51
4276.00,-0.02,-0.01,-0.98,0.02,1.66,-0.68
4277.02,-0.01,-0.01,-0.98,-2.31,-3.41,-0.18
4278.03,-0.02,-0.00,-0.98,-1.38,2.36,0.51
4279.04,-0.00,-0.02,-0.99,-1.09,1.01,0.27
4280.05,0.00,-0.01,-0.98,-2.91,1.04,3.28
4281.06,-0.01,0.01,-1.00,-0.55,3.01,13.74
