time,ax,ay,az,gx,gy,gz
190.64,-0.00,-0.01,-0.98,0.03,-0.56,-0.46
191.65,0.00,-0.01,-0.98,0.10,-1.15,-1.17
192.66,-0.00,-0.01,-0.98,-0.14,-1.88,0.09
193.67,-0.00,-0.01,-0.98,0.11,-1.36,0.02
194.69,0.00,0.06,-0.99,-0.30,1.11,-5.04
195.70,0.14,0.18,-1.06,0.08,-3.57,-4.75
196.71,-0.06,-0.06,-1.03,-0.17,-3.24,-12.21
197.72,-0.05,-0.35,-0.96,0.82,2.53,-28.79
198.73,-0.03,-0.12,-0.99,-0.69,-1.58,-10.12
199.74,0.00,-0.01,-0.98,-0.08,-0.98,0.52
200.75,0.00,-0.00,-0.98,0.19,-1.81,0.66
201.77,0.01,0.01,-0.98,-0.96,-4.76,1.34
202.78,-0.09,-0.43,-0.99,1.20,-5.83,-3.18
203.79,-0.40,-0.40,-0.99,1.09,-2.16,-3.84
204.80,0.09,0.19,-0.82,-0.52,-18.65,0.15
205.81,0.15,0.42,-1.00,2.55,9.91,-16.45
206.82,-0.04,-0.04,-0.98,-0.37,-0.03,5.11
207.83,0.00,-0.01,-0.98,0.14,1.30,-0.39
208.84,0.01,-0.00,-0.98,-0.10,-0.31,0.68
209.86,0.08,0.28,-1.04,-0.94,-3.49,8.48
210.87,0.06,0.26,-1.01,-0.33,-2.37,14.89
211.88,-0.14,-0.37,-0.95,-1.63,-1.72,36.89
212.89,-0.09,-0.31,-0.99,1.55,-2.20,-10.05
213.90,0.00,0.02,-0.99,-1.39,-4.09,2.16
214.91,0.01,-0.01,-0.98,-0.24,-3.72,1.35
215.92,-0.01,-0.05,-0.99,0.17,2.70,-2.14
216.94,-0.10,-0.27,-0.94,2.85,-2.78,16.79
217.95,-0.29,-0.36,-0.91,2.82,5.21,-25.99
218.96,-0.01,0.08,-0.94,-2.10,-5.94,-6.28
219.97,0.20,0.41,-0.96,0.51,7.73,-7.52
220.98,-0.01,-0.05,-0.98,-2.27,-4.17,9.57
221.99,0.01,-0.01,-0.98,-0.35,-0.79,-0.41
223.00,0.00,-0.01,-0.98,0.18,-2.05,-0.92
224.01,0.00,-0.00,-0.98,0.40,-3.77,-4.18
225.03,0.01,-0.01,-0.98,-0.69,-0.87,-2.06
226.04,-0.00,-0.01,-0.98,0.30,-2.01,-0.62
227.05,-0.00,-0.01,-0.98,-0.08,-1.72,-0.56
228.06,-0.00,-0.01,-0.98,-0.31,-0.69,-0.03
229.07,-0.00,-0.01,-0.98,0.08,-0.93,0.76
230.08,0.01,0.01,-0.98,-2.98,-3.94,11.60
