time,ax,ay,az,gx,gy,gz
14659.47,-0.01,-0.00,-0.99,-0.90,-1.13,-0.33
14660.48,-0.01,-0.00,-0.98,-0.15,0.74,-0.23
14661.49,-0.01,-0.00,-0.99,-0.63,-0.60,-0.01
14662.51,-0.01,0.00,-0.99,-0.21,-1.01,-0.93
14663.52,0.00,0.03,-0.98,-0.08,1.53,-9.25
14664.53,-0.00,0.08,-0.98,-0.40,1.38,2.91
14665.54,-0.03,0.08,-0.97,-1.46,-2.42,-5.76
14666.55,-0.03,0.05,-0.98,-0.55,1.87,-9.25
14667.56,-0.05,-0.00,-0.99,0.50,4.23,-0.37
14668.57,-0.01,0.02,-0.97,0.43,-1.80,-5.88
14669.58,0.03,-0.06,-0.98,1.45,4.28,1.74
14670.60,0.01,0.00,-0.98,3.08,3.94,6.89
14671.61,0.02,-0.16,-1.02,-0.93,2.34,-1.20
14672.62,0.02,-0.06,-0.99,-1.62,2.47,-12.62
14673.63,0.03,-0.02,-0.98,-2.16,-0.76,-1.14
14674.64,-0.00,-0.01,-0.98,0.23,0.69,-7.41
14675.65,0.01,-0.01,-0.99,-0.89,-0.08,0.14
14676.66,0.01,-0.02,-0.99,-1.43,-0.11,0.34
14677.68,0.02,-0.01,-0.98,-0.45,0.70,-0.50
14678.69,0.01,-0.02,-0.99,-0.06,0.98,-0.58
14679.70,0.02,-0.09,-0.98,1.05,0.48,-9.60
14680.71,0.02,-0.06,-0.96,4.03,-2.09,-2.88
14681.72,0.00,-0.03,-0.93,9.88,0.63,-8.25
14682.73,0.01,-0.01,-0.99,-13.64,1.38,-12.02
14683.74,0.01,-0.04,-0.98,-1.10,-2.25,-13.70
14684.75,-0.00,-0.04,-0.96,-2.04,-4.39,-13.67
14685.77,0.00,0.05,-1.02,1.88,-0.48,0.82
14686.78,-0.02,-0.00,-0.92,-2.39,-1.38,-3.58
14687.79,0.02,-0.06,-0.97,-2.56,-0.38,14.82
14688.80,-0.00,-0.03,-0.99,-5.91,-8.50,1.71
14689.81,-0.04,-0.01,-0.96,-4.20,-3.17,-4.43
14690.82,-0.02,0.04,-0.98,-4.25,-2.92,1.27
14691.83,-0.02,0.02,-0.99,-3.87,-6.42,13.32
14692.85,-0.01,-0.01,-1.00,-0.52,0.02,-1.75
14693.86,-0.02,-0.01,-0.98,-1.65,-4.72,-0.14
14694.87,-0.02,-0.00,-0.99,1.55,10.83,0.42
14695.88,0.00,-0.01,-0.99,-1.26,1.22,-3.81
14696.89,-0.01,-0.02,-0.99,-4.03,-7.85,-1.06
14697.90,-0.00,-0.01,-0.98,0.78,7.96,-0.57
14698.91,0.00,0.01,-1.00,-4.03,-1.63,17.72
