time,ax,ay,az,gx,gy,gz
6897.47,-0.01,-0.01,-0.99,-0.40,-0.63,0.02
6898.48,-0.00,-0.01,-0.99,-0.25,1.85,-0.15
6899.49,-0.01,-0.01,-0.99,-0.32,1.01,-0.05
6900.50,-0.01,-0.01,-0.99,-0.02,0.63,0.30
6901.51,-0.01,-0.00,-0.99,-0.23,-1.07,-0.13
6902.52,-0.01,-0.01,-0.98,-0.31,0.55,-0.03
6903.53,-0.01,-0.01,-0.98,-0.07,0.25,-0.34
6904.54,-0.01,-0.01,-0.99,-0.43,0.37,-0.08
6905.56,-0.01,-0.01,-0.98,-0.05,1.40,0.08
6906.57,-0.01,-0.00,-0.99,-0.35,0.50,0.15
6907.58,-0.00,-0.01,-0.98,-0.23,0.66,0.02
6908.59,-0.01,-0.00,-0.99,-0.12,-1.10,-0.05
6909.60,-0.02,-0.00,-0.99,6.34,-10.98,-5.00
6910.61,-0.01,-0.06,-1.02,17.36,-14.52,1.79
6911.62,-0.06,0.04,-1.02,-21.58,3.57,-8.31
6912.64,-0.03,0.00,-1.02,-6.55,11.08,-3.16
6913.65,0.01,-0.02,-1.03,20.74,15.91,-2.77
6914.66,0.05,-0.01,-0.96,-0.88,14.31,-1.87
6915.67,0.08,-0.03,-0.99,-2.66,14.14,-3.11
6916.68,0.07,0.02,-0.97,2.59,11.97,-7.96
6917.69,0.09,0.01,-0.88,-2.43,19.12,-3.24
6918.70,0.14,0.02,-0.81,-7.39,9.79,-1.22
6919.71,0.12,0.01,-0.84,7.78,-13.82,6.26
6920.73,0.11,-0.03,-0.92,11.67,-18.36,10.49
6921.74,0.07,0.01,-1.00,9.19,-15.00,8.94
6922.75,0.05,-0.01,-0.99,8.30,-8.51,7.26
6923.76,0.01,-0.01,-0.99,5.94,-11.85,4.53
6924.77,-0.01,-0.05,-1.01,4.76,-10.35,5.60
6925.78,-0.03,-0.06,-1.04,17.75,-10.93,5.81
6926.79,-0.02,-0.09,-1.06,-1.51,-4.88,-7.03
6927.81,-0.05,-0.05,-1.03,-25.05,9.93,-6.46
6928.82,-0.01,-0.02,-0.99,-35.36,12.42,-5.06
6929.83,-0.01,0.00,-0.98,0.63,9.48,0.89
6930.84,-0.01,-0.01,-0.99,0.27,0.35,-0.21
6931.85,-0.02,-0.00,-0.98,-0.73,-2.88,-0.09
6932.86,-0.02,-0.00,-0.99,0.41,-0.30,0.10
6933.87,-0.02,-0.00,-0.99,0.49,3.74,0.22
6934.88,-0.01,-0.00,-0.98,-0.64,1.47,0.95
6935.90,-0.02,-0.00,-0.98,-0.15,2.53,0.49
6936.91,-0.01,0.01,-1.00,-1.61,2.62,2.41
